# date number_of_scans start_scan stop_scan max_time_gap max_sza_gap warnings
# 20120601 17 2:30:00 18:30:00 60 7.4 
# wavelength exposure(J/m2/nm) 
4220 2.62539290e+04
4230 2.40970253e+04
4240 2.37467481e+04
4250 2.38933201e+04
4260 2.51913740e+04
4270 2.34874462e+04
4280 2.33898530e+04
4290 2.16300725e+04
4300 1.80459864e+04
4310 1.63405391e+04
4320 2.55426041e+04
4330 2.58016241e+04
4340 2.49020805e+04
4350 2.62098046e+04
4360 2.90262750e+04
4370 2.87583697e+04
4380 2.55470618e+04
4390 2.38736701e+04
4400 2.54968033e+04
4410 2.66848356e+04
4420 2.84936324e+04
4430 2.79749352e+04
4440 2.80299167e+04
4450 2.76395326e+04
4460 2.63984041e+04
4470 2.92635713e+04
4480 3.05598049e+04
4490 2.95687606e+04
4500 3.07984078e+04
4510 3.26077532e+04
4520 3.06092578e+04
4530 2.77268228e+04
4540 2.91304900e+04
4550 3.04509086e+04
4560 3.08051717e+04
4570 3.17811792e+04
4580 3.03280511e+04
4590 3.06366461e+04
4600 3.06495072e+04
4610 3.07208367e+04
4620 3.03346958e+04
4630 3.03292437e+04
4640 3.03456439e+04
4650 2.97356157e+04
4660 3.02573570e+04
4670 2.96657831e+04
4680 3.06157282e+04
4690 3.06189530e+04
4700 2.98946375e+04
4710 2.96776728e+04
4720 3.07620851e+04
4730 3.00550205e+04
4740 2.98208390e+04
4750 3.09064361e+04
4760 3.07489809e+04
4770 3.05825327e+04
4780 3.15047346e+04
4790 3.01767910e+04
4800 3.08936960e+04
4810 3.05989046e+04
4820 3.13776782e+04
4830 3.09745176e+04
4840 3.00285366e+04
4850 2.93915309e+04
4860 2.61798783e+04
4870 2.61192432e+04
4880 2.87451914e+04
4890 2.82041979e+04
4900 3.10283831e+04
4910 2.95415244e+04
4920 2.77023192e+04
4930 2.96584966e+04
4940 2.94671665e+04
4950 3.17506101e+04
4960 3.05484165e+04
4970 3.02825060e+04
4980 2.86309772e+04
4990 2.91444006e+04
5000 2.91062504e+04
5010 2.84976468e+04
5020 2.77974911e+04
5030 2.93428597e+04
5040 2.91618016e+04
5050 2.96237250e+04
5060 3.09528678e+04
5070 2.95985377e+04
5080 2.81948780e+04
5090 3.00217696e+04
5100 2.98682896e+04
5110 2.97015918e+04
5120 3.02116534e+04
5130 2.86670501e+04
5140 2.81791661e+04
5150 2.78965050e+04
5160 2.93848310e+04
5170 2.48532596e+04
5180 2.59509285e+04
5190 2.56495851e+04
5200 2.80962012e+04
5210 2.87693584e+04
5220 2.93788803e+04
5230 2.79871608e+04
5240 2.96181813e+04
5250 2.96697471e+04
5260 2.78561979e+04
5270 2.61099632e+04
5280 2.90093580e+04
5290 2.94134913e+04
5300 2.93724658e+04
5310 3.05658903e+04
5320 2.91284583e+04
5330 2.59693703e+04
5340 2.70422719e+04
5350 2.84795805e+04
5360 2.98647113e+04
5370 2.87736584e+04
5380 2.95952486e+04
5390 2.90312911e+04
5400 2.71604105e+04
5410 2.68709079e+04
5420 2.85316674e+04
5430 2.88393355e+04
5440 2.91375149e+04
5450 2.92391236e+04
5460 2.81192828e+04
5470 2.86295063e+04
5480 2.78993947e+04
5490 2.82418737e+04
5500 2.83480683e+04
5510 2.82893396e+04
5520 2.88847282e+04
5530 2.78481162e+04
5540 2.84596378e+04
5550 2.86445319e+04
5560 2.81640603e+04
5570 2.76715131e+04
5580 2.78416798e+04
5590 2.72335755e+04
5600 2.74948309e+04
5610 2.80731396e+04
5620 2.68878977e+04
5630 2.81616752e+04
5640 2.77880620e+04
5650 2.78456922e+04
5660 2.62038514e+04
5670 2.70256164e+04
5680 2.74054865e+04
5690 2.66259135e+04
5700 2.66355138e+04
5710 2.62014490e+04
5720 2.68173266e+04
5730 2.73584464e+04
5740 2.70737693e+04
5750 2.66119491e+04
5760 2.68269895e+04
5770 2.70033335e+04
5780 2.66518136e+04
5790 2.62165540e+04
5800 2.68908511e+04
5810 2.71258821e+04
5820 2.77520653e+04
5830 2.77244938e+04
5840 2.75658259e+04
5850 2.73287533e+04
5860 2.65279631e+04
5870 2.68219240e+04
5880 2.61895970e+04
5890 2.38997590e+04
5900 2.41543559e+04
5910 2.54981568e+04
5920 2.51908475e+04
5930 2.54943306e+04
5940 2.57758113e+04
5950 2.53532554e+04
5960 2.57458642e+04
5970 2.60686855e+04
5980 2.58743535e+04
5990 2.57965763e+04
6000 2.61539501e+04
6010 2.57101046e+04
6020 2.56850161e+04
6030 2.58633084e+04
6040 2.67191310e+04
6050 2.68571336e+04
6060 2.66265924e+04
6070 2.63959731e+04
6080 2.65884235e+04
6090 2.63908645e+04
6100 2.59745392e+04
6110 2.59889000e+04
6120 2.63114509e+04
6130 2.58455754e+04
6140 2.55880416e+04
6150 2.56711405e+04
6160 2.48623343e+04
6170 2.44785499e+04
6180 2.59396554e+04
6190 2.62109629e+04
6200 2.59949251e+04
6210 2.63724103e+04
6220 2.59138689e+04
6230 2.56017771e+04
6240 2.49758488e+04
6250 2.48983425e+04
6260 2.45927757e+04
6270 2.49570850e+04
6280 2.43159840e+04
6290 2.49099884e+04
6300 2.46957344e+04
6310 2.46335693e+04
6320 2.41445853e+04
6330 2.49049370e+04
6340 2.46907681e+04
6350 2.51046782e+04
6360 2.47617468e+04
6370 2.52036853e+04
6380 2.56576335e+04
6390 2.52596523e+04
6400 2.46803995e+04
6410 2.48690234e+04
6420 2.52816223e+04
6430 2.52706926e+04
6440 2.48278853e+04
6450 2.46140171e+04
6460 2.42699457e+04
6470 2.37946224e+04
6480 2.36708656e+04
6490 2.36428854e+04
6500 2.37882756e+04
6510 2.43629720e+04
6520 2.40480600e+04
6530 2.44345835e+04
6540 2.43045074e+04
6550 2.36932240e+04
6560 2.10083611e+04
6570 2.16890299e+04
6580 2.37768781e+04
6590 2.40320536e+04
6600 2.40619489e+04
6610 2.47380543e+04
6620 2.48408589e+04
6630 2.47347287e+04
6640 2.45061224e+04
6650 2.44783956e+04
6660 2.44050751e+04
6670 2.42438782e+04
6680 2.47361674e+04
6690 2.46949901e+04
6700 2.45247296e+04
6710 2.43836745e+04
6720 2.40851838e+04
6730 2.41991930e+04
6740 2.43522527e+04
6750 2.42649901e+04
6760 2.42396879e+04
6770 2.41683136e+04
6780 2.40784201e+04
6790 2.40425071e+04
6800 2.39384879e+04
6810 2.37825390e+04
6820 2.37759258e+04
6830 2.36853103e+04
6840 2.36792012e+04
6850 2.35319470e+04
6860 2.22062332e+04
6870 1.97965606e+04
6880 1.98583306e+04
6890 1.98067921e+04
6900 2.04935675e+04
6910 2.10851192e+04
6920 2.13173677e+04
6930 2.10387246e+04
6940 2.07127574e+04
6950 2.09174507e+04
6960 2.13079069e+04
6970 2.20758896e+04
6980 2.16739753e+04
6990 2.10720468e+04
7000 2.07990069e+04
7010 2.05231084e+04
7020 2.06712532e+04
7030 2.13662439e+04
7040 2.15562251e+04
7050 2.14800240e+04
7060 2.13139171e+04
7070 2.10364550e+04
7080 2.15100026e+04
7090 2.15652607e+04
7100 2.15341497e+04
7110 2.16046998e+04
7120 2.15802050e+04
7130 2.12634769e+04
7140 2.13305096e+04
7150 2.07234362e+04
7160 2.00249859e+04
7170 1.86944074e+04
7180 1.71471343e+04
7190 1.61649152e+04
7200 1.63516614e+04
7210 1.85412522e+04
7220 1.93008880e+04
7230 1.88621827e+04
7240 1.80013184e+04
7250 1.77689041e+04
7260 1.77805262e+04
7270 1.78170013e+04
7280 1.75337113e+04
7290 1.75670819e+04
7300 1.78158897e+04
7310 1.77328041e+04
7320 1.87348389e+04
7330 1.95782819e+04
7340 2.02783525e+04
7350 2.01135149e+04
7360 1.96576534e+04
7370 1.99089618e+04
7380 2.00723617e+04
7390 2.00297450e+04
7400 2.03255137e+04
7410 2.02978216e+04
7420 2.02038508e+04
7430 2.07813398e+04
7440 2.10069691e+04
7450 2.07887696e+04
7460 2.08643777e+04
7470 2.10092834e+04
7480 2.09809947e+04
7490 2.06493258e+04
7500 2.05645646e+04
7510 2.08898956e+04
7520 2.08170847e+04
7530 2.06921267e+04
7540 2.09002106e+04
7550 2.08609052e+04
7560 2.06370523e+04
7570 2.05251566e+04
7580 1.99544116e+04
7590 1.63429334e+04
7600 7.57762527e+03
7610 5.86713974e+03
7620 9.33372352e+03
7630 9.26909931e+03
7640 1.01839421e+04
7650 1.24278219e+04
7660 1.49421131e+04
7670 1.67064215e+04
7680 1.84094881e+04
7690 1.92713645e+04
7700 1.96303668e+04
7710 1.96717037e+04
7720 1.95342531e+04
7730 1.96777479e+04
7740 1.98807394e+04
7750 1.93477178e+04
7760 1.96342256e+04
7770 1.97706533e+04
7780 1.96563415e+04
7790 1.97731252e+04
7800 1.95570424e+04
7810 1.95060758e+04
7820 1.96469336e+04
7830 1.94644296e+04
7840 1.92692605e+04
7850 1.94076195e+04
7860 1.91438915e+04
7870 1.89774005e+04
7880 1.88160921e+04
7890 1.84274879e+04
7900 1.82754117e+04
7910 1.82115344e+04
7920 1.81882834e+04
7930 1.80894906e+04
7940 1.80124130e+04
7950 1.78352930e+04
7960 1.77630309e+04
7970 1.79969591e+04
7980 1.82778110e+04
7990 1.80882730e+04
8000 1.76746745e+04
